Timestamp,Suostumus,Ikä,Sukupuoli,Pituus (cm),Vaikein *ulkona* kiipeämäsi boulder,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt,Lisää suosikkiboulder #2,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt,Lisää suosikkiboulder #3,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt
12/18/2017 0:43:12,Kyllä,35 - 39,Mies,194,7C+,Blackstreak Boys,Kyllä,"Selkeä, korkea, dyno",2 peräkkäistä dynoa,Pysty (wall),Krimppi (crimp),"Dyno (dyno), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique)",Kyllä,World of Rivers,Kyllä,"Kitka, Smear, jalkaoteeton",Jalat on todella huonot,Pysty (wall),Krimppi (crimp),"Keskivartalo (core), Sormivoima (finger strength), Tekniikka (technique), Oikeat kengät",Kyllä,Roadblock,Kyllä,"Uljas, esteettinen, selkeä",,Pysty (wall),"Krimppi (crimp), Underi (undercling)","Keskivartalo (core), Dyno (dyno), Huukkaus (hook), Kompressio (compression), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique)"
12/18/2017 1:08:54,Kyllä,30 - 34,Mies,169,7C,Sithin Kosto,Kyllä,"Krimppaava, hänkki, voimallinen",,Hänkki (overhang),Krimppi (crimp),"Keskivartalo (core), Sormivoima (finger strength), Voima (power)",Kyllä,Savon Partage,Kyllä,"Korkea, jännittävä, uljas",,Pysty (wall),"Krimppi (crimp), Slouppi (sloper)","Keskivartalo (core), Huukkaus (hook), Kompressio (compression), Psyykkinen vahvuus  (mental strength)",Ei,,,,,,,
12/18/2017 6:18:41,Kyllä,30 - 34,Mies,169,7C,Huhu,Kyllä,"Jyrkkä, voimallinen, kompakti",,Hänkki (overhang),"Krimppi (crimp), Reuna/kantti (edge/ledge)","Keskivartalo (core), Huukkaus (hook), Kompressio (compression), Sormivoima (finger strength), Voima (power)",Ei,,,,,,,,,,,,,,,
12/18/2017 7:21:43,Kyllä,25 - 29,Nainen,161,7C,Martinin poikkari,Kyllä,"Sujuva, asento herkkä, ulkokiipeilytyylinen","Mukavat otteet, ei teräviä. Sijainnista lisäpisteitä. Tyyliltään vaihteleva, erilaisia otteita ja täytyy osata erilaisia kiipeilytekniikoita päästääkseen (ainakin lyhyen täytyy).","Hänkki (overhang), Kantti (arête)","Slouppi (sloper), Reuna/kantti (edge/ledge), Pinchi (pinch)","Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance), Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength), Tekniikka (technique), Voima (power)",Kyllä,Saturday night fever,Kyllä,"Ilmava, opettelua vaativa","Pisteet tulee siitä, että lyhyenä joutui kikkailemaan ja projektoimaan ja silti onnistui.","Pysty (wall), Hänkki (overhang)","Krimppi (crimp), Reuna/kantti (edge/ledge), Pinchi (pinch)","Keskivartalo (core), Dyno (dyno), Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique), Voima (power), varvas koukku",Ei,,,,,,,
12/18/2017 8:14:55,Kyllä,25 - 29,Mies,170,7C,Peilipeli,Kyllä,"Vaikea, herkkä, raskas",Uniikit muuvit hienoil otteil,"Släbi (slab), Hänkki (overhang)","Krimppi (crimp), Underi (undercling)","Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique), Voima (power)",Ei,,,,,,,,,,,,,,,
12/18/2017 8:45:10,Kyllä,30 - 34,Mies,173,8A+,Gipsy grooves,Kyllä,"Tekninen, tasainen, henkinen",,Hänkki (overhang),Krimppi (crimp),"Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Kyllä,"Kolmen Tähden Isä , ss",Kyllä,"Hieno, tekninen, mukava",,Hänkki (overhang),"Krimppi (crimp), Gastoni (gaston)","Keskivartalo (core), Liikkuvuus (mobility), Sormivoima (finger strength), Tekniikka (technique)",Kyllä,Left october,Kyllä,"Voimallinen, hieno, uniikki",,Hänkki (overhang),"Krimppi (crimp), Poketti (pocket), Underi (undercling)","Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance), Sormivoima (finger strength), Tekniikka (technique), Voima (power)"
12/18/2017 8:54:18,Kyllä,30 - 34,Mies,180,7C+,Supermartikainen SS,Kyllä,"Kompressiota, erinomaista kiveä, huukkitekniikkaa",,"Hänkki (overhang), Kantti (arête)","Slouppi (sloper), Reuna/kantti (edge/ledge)","Huukkaus (hook), Kompressio (compression), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/18/2017 9:07:16,Kyllä,35 - 39,Mies,194,7C+,Blackstreak Boys,Kyllä,"Selkeä, korkea, dyno",2 peräkkäistä dynoa,Pysty (wall),Krimppi (crimp),"Dyno (dyno), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique)",Kyllä,World of Rivers,Kyllä,"Kitka, Smear, jalkaoteeton",Jalat on todella huonot,Pysty (wall),Krimppi (crimp),"Keskivartalo (core), Sormivoima (finger strength), Tekniikka (technique), Oikeat kengät",Kyllä,Roadblock,Kyllä,"Uljas, esteettinen, selkeä",,Pysty (wall),"Krimppi (crimp), Underi (undercling)","Keskivartalo (core), Dyno (dyno), Huukkaus (hook), Kompressio (compression), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique)"
12/18/2017 9:21:00,Kyllä,25 - 29,Mies,181,7A+,Teräsmies,Kyllä,"tarkka, upea, kaunis",,"Släbi (slab), Pysty (wall)","Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge)","Keskivartalo (core), Huukkaus (hook), Liikkuvuus (mobility), Tasapaino (balance)",Ei,,,,,,,,,,,,,,,
12/18/2017 10:03:10,Kyllä,35 - 39,Nainen,164,6B,Baby Voodoo,Kyllä,"voimakas, kaunis, hauska","Boulderi on suurimmaksi osaksi katon reunassa poikkarointia, joten mataluudestaan huolimatta se ei ole liian lyhyt. Aloittelija pääsee haastamaan taitojaan monipuolisesti. Puolivälissä on pari hyvää mutta mahdollisesti veret ottavaa krimppiä, joten myös kivunsietokykyään pääsee testaamaan. Toppaus lipan yli sisältää hyvän mahdollisuuden sulavan steppailun sijaan hassusti pungertamiseen. Tällä reitillä on hauskaa ja maisema kuin postikortista.",Katto (roof),"Kahva (jug), Krimppi (crimp)","Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance), Mantteli (mantel), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Kyllä,Furiosa,Kyllä,"lyhyt, erikoinen, vaihteleva",Lyhyelle varmasti vielä antoisampi kuin pitkälle. Otteesta otteeseen pitää sitoutua tosissaan. Ratkaisu ei ole itsestäänselvä.,"Pienen kiven pyöreä pääty - tuntuisi hölmöltä määritellä se hänkki, pysty kun ihan alussa vaan ollaan kiven alla mutta pystyksi sanominen antaa väärän mielikuvan.","Krimppi (crimp), Slouppi (sloper)","Keskivartalo (core), Huukkaus (hook), Tasapaino (balance), Tekniikka (technique)",Kyllä,Idaho,Kyllä,"helppo, kiva, myönteisesti yllättävä","Putoaa luokkaan ""kiva vitonen"". Helppoudestaan huolimatta pääsee ihan oikeasti kiipeämään. Kiva tasapainoiluvaihe ja juuri kun luulet, että probleema on vaikea greidilleen sinulle selviää, että topissa on kahvoja juuri siellä missä haluaisitkin niiden olevan.",Pysty (wall),"Kahva (jug), Krimppi (crimp)",Tasapaino (balance)
