Timestamp,Suostumus,Ikä,Sukupuoli,Pituus (cm),Vaikein *ulkona* kiipeämäsi boulder,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt,Lisää suosikkiboulder #2,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt,Lisää suosikkiboulder #3,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt
12/22/2017 13:14:42,Kyllä,30 - 34,Mies,174,7B+,Lobotomy wall,Kyllä,"JÄNNÄ, LAADUKAS, KORKEA","HIENOT MUUVIT, EI KOVIN VAIKEA, MUTTA KORKEUS TUO MUKANAAN HAASTETTA. LOPUN MUUVIT EI LAINKAAN VAIKEITA, MUTTA VARMASTI JÄNITTÄÄ. KIVEN LAATU ON MYÖS AIVAN TIMANTTIA","Släbi (slab), Pysty (wall)","Krimppi (crimp), Gastoni (gaston)","Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength)",Kyllä,Tyhjä sielu,Kyllä,"VOIMALLINEN, POIKEUKSELLINEN, HAUSKA","EI EHKÄ VAIKEIN GREIDISSÄÄN, MUTTA HAUSKAA  JA EPÄTYYPILLISTÄ KIIPEILYÄ SUOMALAISELTA BOULDERILTA, KIVEN LAATU MYÖS LÄHTÖKOHTAISESTI HYVÄ!",Hänkki (overhang),"Krimppi (crimp), Slouppi (sloper), Pinchi (pinch)","Huukkaus (hook), Voima (power)",Kyllä,Kun Jari koskee,Kyllä,"ERILLAINEN, HIENO, HYVÄ","TIMANTTISTA KIVEÄ, HAUSKOJA MUUVEJA. EI LIAAN VAIKEAA TAI VAKAVAMIELISTÄ VÄÄNTÄMISTÄ.",Pysty (wall),Slouppi (sloper),"Keskivartalo (core), Tasapaino (balance), Tekniikka (technique)"
12/22/2017 13:29:06,Kyllä,30 - 34,Mies,178,7C,Painajainen,Kyllä,"Ylväs, pelottavahko, selkeä",,Hänkki (overhang),"Kahva (jug), Krimppi (crimp), Slouppi (sloper), Pinchi (pinch)","Keskivartalo (core), Dyno (dyno), Mantteli (mantel), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength)",Kyllä,Ruoska,Kyllä,"Tekninen, kaunis, monipuolinen",,"Hänkki (overhang), Kantti (arête)","Kahva (jug), Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge), Poketti (pocket), Gastoni (gaston), Underi (undercling)","Keskivartalo (core), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Kyllä,Martikainen,Kyllä,"Klassinen, nätti, dynaaminen",,"Hänkki (overhang), Kantti (arête)","Kahva (jug), Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge)","Dyno (dyno), Huukkaus (hook), Sormivoima (finger strength), Voima (power)"
12/22/2017 13:35:38,Kyllä,30 - 34,Mies,190,7C,Grand Slam,Ei,"Hieno, korkea, armoton",Ulkonäkö ja muuvit ja aivan erityisesti viimeiset viisi senttiä.,Pysty (wall),Krimppi (crimp),"Dyno (dyno), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/22/2017 13:54:49,Kyllä,25 - 29,Mies,179,6B,Lemmen jättiläinen,Kyllä,"Kaunis, lempeä, jättiläinen",,Hänkki (overhang),Krimppi (crimp),"Keskivartalo (core), Sormivoima (finger strength)",Ei,,,,,,,,,,,,,,,
12/22/2017 20:18:14,Kyllä,35 - 39,Mies,189,7C,Analstacia,Kyllä,"Hänkki, monipuolinen, laadukas","Hyvä kivenlaatu, monipuoliset muuvit, tarjoaa hyvän läpileikkauksen eri tekniikoista ja korkeuttakin on senverran että henkinen puoli testataan myös!",Hänkki (overhang),"Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge)","Dyno (dyno), Huukkaus (hook), Mantteli (mantel), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Voima (power)",Kyllä,Roadblock,Kyllä,"Kaunis, ilmava, tekninen","Se että ilman oikeaa betaa et välttämättä pääse edes maasta ylös. Hyvä kivenlaatu, hienot moovit: herkät ja tekniset jalat yhdistettynä yläkropan runttaaviin mooveihin. Lisäksi toppauksen ilmavuus ja äärimmäisen lyhyt lähestyminen tekee tästä klassikon!","Pysty (wall), Hänkki (overhang), Kantti (arête)","Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge), Underi (undercling)","Dyno (dyno), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Ei,,,,,,,
12/26/2017 17:45:32,Kyllä,45 - 49,Nainen,165,7A,Jotain dullattavaa,Kyllä,"Hauska, pumppaava, hieno","Jalat pitää katsoa huolella. Kun olet päässyt traverseosuuden, oot ihan pumpissa ja silloin pitäisi jaksaa kiivetä ylöspäin.",traverse,Reuna/kantti (edge/ledge),"Huukkaus (hook), Kestävyys (endurance), Voima (power)",Ei,,,,,,,,,,,,,,,
12/26/2017 22:04:03,Kyllä,35 - 39,Mies,176,7C,Pimp my ride,Kyllä,"Upea, upeampi, upein","Sen tietää, kun sen näkee. Sen tuntee, kun siihen koskee.",Kantti (arête),Slouppi (sloper),"Huukkaus (hook), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/27/2017 10:41:07,Kyllä,45 - 49,Mies,177,7C,Finger to the bone,Kyllä,"Lyhyt,jammi,tasapaino",Riittämätön jo 10 vuotta,Hänkki (overhang),Kapea jammi,"Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique)",Kyllä,Feel so good to be afraid,Kyllä,Korkea,Toistamaton,Pysty (wall),Reuna/kantti (edge/ledge),"Psyykkinen vahvuus  (mental strength), Tasapaino (balance)",Kyllä,Foot of the Mountain,Kyllä,Korkea,Toistamaton,Pysty (wall),Krimppi (crimp),"Psyykkinen vahvuus  (mental strength), Tasapaino (balance)"
12/28/2017 11:09:29,Kyllä,25 - 29,Mies,180,8A,Kaljala,Kyllä,"Uniikki, voimallinen ja kaunis",,Hänkki (overhang),Krimppi (crimp),"Keskivartalo (core), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Ei,,,,,,,,,,,,,,,
12/28/2017 16:14:21,Kyllä,15 - 19,Mies,169,7C,Ylityö,Kyllä,"Loistava, täydellinen, erinomainen",,"Pysty (wall), Hänkki (overhang)","Kahva (jug), Krimppi (crimp), Pinchi (pinch), Poketti (pocket)","Dyno (dyno), Huukkaus (hook), Psyykkinen vahvuus  (mental strength), Tekniikka (technique), Voima (power)",Kyllä,Folkhälsan,Kyllä,"Uskomaton, upea, korvaamaton",,Hänkki (overhang),"Slouppi (sloper), Reuna/kantti (edge/ledge), Pinchi (pinch)","Keskivartalo (core), Huukkaus (hook), Kompressio (compression), Voima (power)",Kyllä,Elämä on pyyttonia,Kyllä,"Mieletön, hieno, sileä",,Pysty (wall),Slouppi (sloper),"Huukkaus (hook), Kestävyys (endurance), Liikkuvuus (mobility), Tekniikka (technique)"
12/28/2017 18:50:24,Kyllä,30 - 34,Mies,178,7B+,Hammaspeikko assis,Kyllä,"Monipuolinen, kaunis, yllättävä ","Alusta loppuun tasainen vaikeudeltaan. Hyviä ""pehmeitä"" otteita.","Pysty (wall), Katto (roof), Kantti (arête)","Krimppi (crimp), Reuna/kantti (edge/ledge)","Kestävyys (endurance), Tekniikka (technique)",Kyllä,Ruoska,Kyllä,"Klassinen, herkkä, selkeä",Kaunis klassinen linja. ,Pysty (wall),"Krimppi (crimp), Reuna/kantti (edge/ledge), Gastoni (gaston), Underi (undercling)","Keskivartalo (core), Kompressio (compression), Tekniikka (technique)",Ei,,,,,,,
12/30/2017 0:17:40,Kyllä,30 - 34,Mies,187,7C+,Sirkus,Kyllä,"Herkkä, klassikko, helmi",,"Pysty (wall), Hänkki (overhang)","Krimppi (crimp), Slouppi (sloper), Pinchi (pinch)","Keskivartalo (core), Dyno (dyno)",Ei,,,,,,,,,,,,,,,
12/31/2017 9:08:25,Kyllä,35 - 39,Mies,176,7C,Comfort Zone,Kyllä,"herkkä, voimakas, kaunis",,Släbi (slab),Krimppi (crimp),"Keskivartalo (core), Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
1/2/2018 15:36:42,Kyllä,25 - 29,Mies,180,7B,Valaskala,Kyllä,"kuumottava,palkitseva,jylhä",,"Släbi (slab), Pysty (wall)","Kahva (jug), Krimppi (crimp)","Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
1/5/2018 10:54:53,Kyllä,30 - 34,Mies,180,7A+,Highlight assis,Kyllä,"Herkkä, Pitkä, Loppukliimaksinen",,Pysty (wall),"Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge)","Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance), Sormivoima (finger strength), Tasapaino (balance)",Ei,,,,,,,,,,,,,,,
