Votes,VotedBy,Name,Grade,GradeNumeric,InFinland,AreaLevel1,AreaLevel2,AreaLevel3,Crag,ApproximateCoordinates,Coordinates,Latitude,Longitude,Url27crags,UrlVideo,UrlStory,MainProfiles,MainHoldTypes,MainSkillsNeeded,Adjectives,Comments
2,Male,Lemmen jättiläinen,6A+,9,Yes,Etelä-Savo,Mikkeli,Mikkeli,Ihastjärvi,No,"61.723090,27.275791",61.72309,27.275791,https://27crags.com/crags/ihastjarvi/routes/lemmen-jattilainen,https://vimeo.com/183131099,,hänkki (overhang),krimppi (crimp),"keskivartalo (core),mantteli (mantel),sormivoima (finger strength),tekniikka (technique)","esteettinen,jättiläinen,kaunis,kiipeilyllinen,lempeä","""Kaikki otteet ja muuvit juuri sopivia, ei yhtään turhaa tai ylimääräistä. Kiipeää kauniisti."""
2,Male,Kukkakeppi,6A,8,Yes,Päijät-Häme,Lahti,Nastola,E75,No,"61.054635,25.860357",61.054635,25.860357,https://27crags.com/crags/e75/routes/kukkakeppi,https://www.youtube.com/watch?v=p8-35oDOMSs,,kantti (arête),reuna/kantti (edge/ledge),"keskivartalo (core),tasapaino (balance),tekniikka (technique)","ainutlaatuinen,helppo,herkkä,korkea,näyttävä,vaikea",
1,Male,Living the Dream,8B+,23,Yes,Ahvenanmaan maalaiskunta,Geta,,Fågelberget,No,"60.409801,19.835300",60.409801,19.8353,https://27crags.com/crags/fagelberget/routes/living-the-dream,,,"kantti (arête),katto (roof)","krimppi (crimp),reuna/kantti (edge/ledge)","dyno (dyno),keskivartalo (core),voima (power)","erikoinen,upea,veistoksellinen",
1,Male,The Globalist,8B+,23,Yes,Uusimaa,,,,Yes,"60.169856,24.938379",60.169856,24.938379,https://27crags.com/crags/sipoo/routes/the-globalist,https://vimeo.com/165581098#t=7m8s,,hänkki (overhang),"krimppi (crimp),pinchi (pinch),slouppi (sloper)","huukkaus (hook),kompressio (compression),mantteli (mantel)","kompressio,slouppaava,voimallinen",
1,Male,Dodo,8A+,21,Yes,Ahvenanmaan maalaiskunta,Geta,,Kasviken,No,"60.369992,19.930804",60.369992,19.930804,https://27crags.com/crags/kasviken/routes/dodo,https://vimeo.com/11516626,,hänkki (overhang),"krimppi (crimp),reuna/kantti (edge/ledge)","keskivartalo (core),psyykkinen vahvuus  (mental strength),sormivoima (finger strength)","näyttävä,pelottava,voimakas",
1,Male,Forte risoluto,8A,20,Yes,Keski-Suomi,Jyväskylä,Jyväskylä,Forte,No,"62.110600,25.776300",62.1106,25.7763,https://27crags.com/crags/forte/routes/forte-risoluto,https://vimeo.com/15729319,,"hänkki (overhang),pysty (wall)",krimppi (crimp),"sormivoima (finger strength),tekniikka (technique)","jännittävä,krimpikäs,lennokas",
1,Male,Gipsy grooves,8A,20,Yes,Varsinais-Suomi,Turku,Turku,Luolavuori,No,"60.430259,22.284683",60.430259,22.284683,https://27crags.com/crags/luolavuori-433/routes/gipsy-grooves,https://www.youtube.com/watch?v=snksRtwx-ug,,hänkki (overhang),krimppi (crimp),"psyykkinen vahvuus  (mental strength),sormivoima (finger strength),tasapaino (balance),tekniikka (technique)","henkinen,tasainen,tekninen",
1,Male,Jäätävä polte,8A,20,Yes,Satakunta,Pori,Pori,Noormarkku,No,"61.622800,21.851335",61.6228,21.851335,https://27crags.com/crags/noormarkku/routes/jaatava-polte,https://www.youtube.com/watch?v=8HXh8f1dkb4,,"hänkki (overhang),kantti (arête)","kahva (jug),krimppi (crimp),pinchi (pinch),poketti (pocket),slouppi (sloper)","dyno (dyno),huukkaus (hook),keskivartalo (core),kompressio (compression),tasapaino (balance),tekniikka (technique),voima (power)","dynaaminen,herkkä,uniikki","""Hienot muuvit ja todella harvinainen."""
1,Male,Localist,8A,20,Yes,Etelä-Savo,,,,Yes,"61.688727,27.272146",61.688727,27.272146,https://27crags.com/crags/puumala/routes/localist,https://vimeo.com/61967285,,"hänkki (overhang),kantti (arête)","krimppi (crimp),pinchi (pinch),reuna/kantti (edge/ledge)","huukkaus (hook),keskivartalo (core),kompressio (compression),sormivoima (finger strength),tasapaino (balance),tekniikka (technique)","hyvää kiveä,tekninen,täydellinen",
1,Male,Mahjongg,8A,20,Yes,Pohjois-Karjala,Joensuu,Juuka,Nunnanlahti,No,"63.136792,29.457135",63.136792,29.457135,https://27crags.com/crags/nunnanlahti/routes/mahjongg,https://www.youtube.com/watch?v=DTETTLXqvA4&t=2m0s,,"hänkki (overhang),kantti (arête)","kahva (jug),krimppi (crimp),pinchi (pinch),reuna/kantti (edge/ledge),slouppi (sloper)","huukkaus (hook),keskivartalo (core),kestävyys (endurance),kompressio (compression),tekniikka (technique),voima (power)","esteettinen,sopivan korkea,täydellistä kiveä",
