Votes,VotedBy,Name,Grade,GradeNumeric,AreaLevel1,AreaLevel2,AreaLevel3,Crag,ApproximateLocation,Location,Latitude,Longitude,Url27crags,UrlVideo,UrlStory
1,Male,Herkules,7B+,17,Keski-Suomi,Jyväskylä,Jyväskylä,Herkules,No,"62.100899,25.774500",62.100899,25.774500,https://27crags.com/crags/herkules/routes/herkules,https://vimeo.com/53035588,
1,Male,Martinin poikkari,7B+,17,Uusimaa,Helsinki,Helsinki,Koivusaari bloc,No,"60.161499,24.847601",60.161499,24.847601,https://27crags.com/crags/koivusaari-bloc/routes/martinin-poikkari,https://vimeo.com/163728578,
1,Male,Pop the Glock,7B+,17,Ahvenanmaan maalaiskunta,Geta,,Kasviken,No,"60.369999,19.930901",60.369999,19.930901,https://27crags.com/crags/kasviken/routes/pop-the-glock,https://vimeo.com/77073440#t=5m5s,
1,Male,Superstylin',7B+,17,Keski-Suomi,Jyväskylä,Jyväskylä,Keljonkangas,No,"62.186100,25.723900",62.186100,25.723900,https://27crags.com/crags/keljonkangas/routes/superstylin,https://vimeo.com/76889230,
1,Female,Frispel,7B,16,Ahvenanmaan maalaiskunta,Geta,,Kasviken,No,"60.370701,19.932301",60.370701,19.932301,https://27crags.com/crags/kasviken/routes/frispel,https://vimeo.com/97154125,
1,Male,Hämeentie,7B,16,Etelä-Savo,Mikkeli,Puumala,Hurissalo,No,"61.510201,27.895100",61.510201,27.895100,https://27crags.com/crags/hurissalo/routes/hameentie,https://vimeo.com/29922470,
1,Male,Mare Chiaro,7B,16,Uusimaa,Helsinki,Helsinki,Haaga,No,"60.225300,24.884857",60.225300,24.884857,https://27crags.com/crags/haaga/routes/mare-chiaro,https://www.youtube.com/watch?v=hbjdDaf2s1k,
1,Male,Ratamies ei valkkaa!,7B,16,Satakunta,Rauma,Rauma,Uuhis,No,"61.117045,21.437073",61.117045,21.437073,https://27crags.com/crags/uuhis/routes/ratamies-ei-valkkaa,https://vimeo.com/24344967#t=41s,
1,Female,Carelia fight,7A+,15,Etelä-Karjala,Imatra,Imatra,Saarlampi,No,"61.263940,28.864517",61.263940,28.864517,https://27crags.com/crags/saarlampi/routes/carelian-fight,https://vimeo.com/81876844#t=32s,
1,Male,Hammas,7A+,15,Ahvenanmaan maalaiskunta,Geta,,Djupviksgrottorna,No,"60.399799,19.830601",60.399799,19.830601,https://27crags.com/crags/grottan/routes/hammas,https://vimeo.com/42085048,
1,Male,Hanoi rocks,7A+,15,Uusimaa,Helsinki,Vantaa,Hakunila boulders,No,"60.270901,25.100000",60.270901,25.100000,https://27crags.com/crags/hakunila-boulders/routes/hanoi-rocks,https://www.youtube.com/watch?v=TO4DgfGNhQ0,
1,Male,Huhu,7A+,15,Keski-Suomi,Jyväskylä,Muurame,Muurame,No,"62.111321,25.712383",62.111321,25.712383,https://27crags.com/crags/muurame/routes/huhu,https://vimeo.com/98915641,
1,Male,Peppu,7A+,15,Uusimaa,Helsinki,Helsinki,Koivusaari bloc,No,"60.161499,24.847601",60.161499,24.847601,https://27crags.com/crags/koivusaari-bloc/routes/peppu,https://www.youtube.com/watch?v=J9M9ng4ocf4,
1,Male,Power Plant,7A+,15,Uusimaa,Helsinki,Helsinki,Koivusaari bloc,No,"60.161499,24.847601",60.161499,24.847601,https://27crags.com/crags/koivusaari-bloc/routes/power-plant,https://www.youtube.com/watch?v=0QGEhxvfteQ,
1,Male,Sittis ss,7A+,15,Uusimaa,Helsinki,Vantaa,Mellunmäki boulders,No,"60.239700,25.124500",60.239700,25.124500,https://27crags.com/crags/mellunmaki-boulders/routes/sittis-ss,https://www.youtube.com/watch?v=uzEx9bT6czg,
1,Female,Akilles,7A,14,Uusimaa,Helsinki,Vantaa,Mellunmäki boulders,No,"60.239300,25.124300",60.239300,25.124300,https://27crags.com/crags/mellunmaki-boulders/routes/akilles,https://vimeo.com/91110827#t=2m6s,
1,Male,Block Work,7A,14,Uusimaa,Loviisa,Loviisa,Lappnor,No,"60.419085,26.123277",60.419085,26.123277,https://27crags.com/crags/lappnor/routes/block-work,https://vimeo.com/182411635#t=2m7s,
1,Male,Cape of Good Slope assis,7A,14,Pohjanmaa,Vaasa,Vaasa,Pilvilampi,No,"63.081064,21.769667",63.081064,21.769667,https://27crags.com/crags/pilvilampi/routes/cape-of-good-slope-assis,https://www.youtube.com/watch?v=vvkYnd9Rbc0,
1,Male,George,7A,14,Pirkanmaa,Tampere,Nokia,Karhun lenkki,No,"61.528741,23.500234",61.528741,23.500234,https://27crags.com/crags/k-lenkki/routes/george-155706,,
1,Male,Harry Spotter,7A,14,Pirkanmaa,Tampere,Hämeenkyrö,Sasi,No,"61.532474,23.335991",61.532474,23.335991,https://27crags.com/crags/sasi/routes/harry-spotter,https://www.youtube.com/watch?v=1hhsY99yUMQ,
1,Male,Hellboy,7A,14,Varsinais-Suomi,Turku,Turku,Valkeavuori,No,"60.521566,22.235298",60.521566,22.235298,https://27crags.com/crags/valkeavuori/routes/hellboy-32102,https://vimeo.com/32411117,
